,name,area,latest_version,latest_dataset_id,project_id_str
293,Colville City,8.008026347375381,1.4,a27feb8c-58f6-41e8-8b51-b1b96cc323ef,684680427fe063e3230ca8f2
294,Cosmopolis City,4.124200852730554,1.6,03c18711-8a36-4ae7-a51c-2434fccd5a13,684680687fe063e3230ca8f4
295,Creston City,1.067009871787324,1.3,3e77274e-dfe3-48af-b434-a57eca93c305,684680857fe063e3230ca8f6
296,Cusick City,1.2777214086436008,1.4,e2001451-0def-4ea7-8b62-cdca2c3a636b,684685607fe063e3230ca8f8
297,Davenport City,4.21127896374253,1.4,d1ebebc9-f277-4e0d-a920-a83ca0e7ce43,6846857a7fe063e3230ca8fa
298,Dayton City,3.657305418648986,1.4,097e4922-4b3c-4d12-a114-689669f51790,684685927fe063e3230ca8fc
299,Fircrest City,4.025651849023058,1.4,39eccfee-0295-48bf-8776-19f92dab650a,684685c07fe063e3230ca8fe
300,Friday Harbor City,5.774513858687888,1.4,c54e0768-9260-4fb1-96b4-ab8c38d6f48a,684685e27fe063e3230ca900
301,Harrington City,1.0185849999397893,1.4,8a8ee4a6-cde1-4a27-b5f3-984fbf8d7133,684687047fe063e3230ca902
302,Hatton City,0.9662658412274572,1.2,c6ade64c-9934-4e8f-8f1d-0c627d69c4eb,684687237fe063e3230ca904
303,Ione City,1.5104707095981855,1.4,afcd2fb3-34aa-43f4-b380-d58f06624663,684687407fe063e3230ca906
304,Kettle Falls City,2.817994833160876,1.4,e03ad93e-4bac-484c-b69f-f7fdd54318a0,6846875b7fe063e3230ca908
305,Krupp City,1.523452688790636,1.4,814fcc88-bb88-4172-80e9-1fe8c1430899,684687797fe063e3230ca90a
306,Lind City,2.764366885131631,1.4,059dbb1e-c9ee-4ec3-b97c-3db22207e8a8,684687907fe063e3230ca90c
307,Metaline City,0.7821604590555946,1.3,7f873ebb-6d01-4a28-a5a6-96c2679312b3,684687eb7fe063e3230ca90e
308,Metaline Falls City,0.5513533992060431,1.4,2a6e8186-6b28-42e3-8e85-e5e2d2665ad8,684688457fe063e3230ca910
309,Newport City,3.9917370349008325,1.4,4e46499d-1f6b-4948-96b4-2cc2efc725e5,684688647fe063e3230ca912
310,North Bonneville City,7.080681156859347,1.4,bb2b5f90-0655-4e78-9def-34d45d9ddf3c,6846887c7fe063e3230ca914
311,Northport City,1.5010846450419617,1.4,66791a80-f3fa-4071-9ba6-832543b0eb75,684688907fe063e3230ca916
312,Odessa City,2.0856717044066526,1.4,33f6496e-01d6-4b2e-806f-2abda699dff0,684688a97fe063e3230ca918
313,Othello City,12.598288720848936,1.4,2ff064b4-22ab-4b6f-9199-e4f32754eed6,684688c47fe063e3230ca91a
314,Pomeroy City,4.531517178653107,1.4,b4377ef3-fbd5-4b2c-905d-fa676382f75f,684688dc7fe063e3230ca91c
315,Port Townsend City,18.181488307507472,1.4,758b083b-beca-4faf-932e-1d31bc044ce1,684688f27fe063e3230ca91e
316,Reardan City,1.2643739892944856,1.4,ac3ffb30-eda8-466f-9d7a-c0a4fc33335b,684689097fe063e3230ca920
317,Republic City,3.7672483386975206,1.4,5bb5f712-731b-4b7d-b974-6c5448f66f67,6846891e7fe063e3230ca922
318,Ritzville City,5.468919801733544,1.4,f79b89a2-67a0-4a76-8573-948ebbd588a3,684689327fe063e3230ca924
319,Shelton City,17.729150953554214,1.4,939a355f-45cf-45e9-b46d-457ea19d2249,6846894e7fe063e3230ca926
320,South Bend City,5.319507774703424,1.4,a076dba2-2c82-4175-a337-ced6f1c0cc9d,684689647fe063e3230ca928
321,Sprague City,2.7130715438555177,1.4,8f91cb38-6342-4647-88d7-58eb98985de4,6846897b7fe063e3230ca92a
322,Springdale City,2.9013746829079636,1.4,7b8f59f5-cd12-4e7d-8a3f-ae2cbd73dd21,684689967fe063e3230ca92c
323,Starbuck City,0.5645890526919852,1.4,b4f8a63a-838f-4b7f-a2a3-f860798ebbf1,684689b27fe063e3230ca92e
324,Stevenson City,4.404196335461959,1.4,f152188a-67b4-4dad-ac54-1200b8218617,684689d07fe063e3230ca930
325,Washtucna City,1.7729314912592657,1.3,2d02a427-28cb-4b69-baeb-fdccd854a2ba,684689e57fe063e3230ca932
326,White Salmon City,4.072347828437594,1.4,4b50e43d-f2dd-4dd7-8bad-193b2e0acc14,684689fa7fe063e3230ca934
327,Wilbur City,3.2281220369888235,1.4,d28570ea-32e9-48b9-9bf3-97d493554d9c,68468a2d7fe063e3230ca936
328,Yelm City,14.996077014664603,1.4,a7cb2823-76d4-44ec-9de5-9b9b081e1787,68468a3f7fe063e3230ca938
368,GS Aberdeen City,32.57770906326626,1.4,be9578a5-d737-4a21-831f-946cb3614e9f,68f702041ebeef3e235584ce
369,GS Algona City,3.4554867272482697,1.3,255c9920-3f42-41f6-83b7-d555eca4634c,68f705761ebeef3e235584dc
370,GS Pacific City,6.3750274861883005,1.3,8532081e-721c-4aa4-aa1c-3ab4432a9a41,68f709b11ebeef3e235584e8
371,GS Raymond City,11.918255408298432,1.3,2f78f9b0-31e8-489b-9a50-8419e9885539,68f7143f1ebeef3e235584f3
